driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,Xin,Yin,Xout,Yout
-38.08748118,0,0,-29.97359376,-5.036314385,-29.99221704,4.963668273
-38.23714377,0,0,-30.09321802,-5.036537969,-30.1119085,4.963444564
-38.38680845,0,0,-30.21287239,-5.036761743,-30.23157406,4.963220769
-38.53647522,0,0,-30.3325057,-5.036986166,-30.35126489,4.962996238
-38.68614407,0,0,-30.45216118,-5.037210839,-30.47093774,4.962771533
-38.83581499,0,0,-30.57180189,-5.037436095,-30.59062955,4.962546181
-38.98548798,0,0,-30.69145815,-5.037661669,-30.71030998,4.962320561
-39.13516304,0,0,-30.81110551,-5.037887779,-30.83000347,4.962094365
-39.28484017,0,0,-30.93076198,-5.038114289,-30.94969202,4.961867793
-39.43451934,0,0,-31.05041623,-5.038341282,-31.06938692,4.961640724
-39.58420057,0,0,-31.17007261,-5.038568764,-31.18908384,4.961413165
-39.73388384,0,0,-31.28973406,-5.038796669,-31.30877981,4.961185194
-39.88356916,0,0,-31.40939017,-5.039025153,-31.42848523,4.960956616
-40.03325651,0,0,-31.5290597,-5.039253981,-31.54818133,4.960727737
-40.18294588,0,0,-31.6487167,-5.039483452,-31.66789407,4.960498159
-40.33263729,0,0,-31.76839446,-5.039713182,-31.78759011,4.960268394
-40.48233071,0,0,-31.88805351,-5.039943591,-31.90730895,4.96003787
-40.63202614,0,0,-32.00773912,-5.04017418,-32.02700528,4.959807261
-40.78172358,0,0,-32.1274006,-5.040405477,-32.1467298,4.959575843
-40.93142302,0,0,-32.24709363,-5.040636882,-32.2664268,4.95934443
-41.08112446,0,0,-32.36675773,-5.040869019,-32.38615676,4.959112165
-41.23082789,0,0,-32.48645677,-5.041101224,-32.5058558,4.95887996
-41.3805333,0,0,-32.60612397,-5.041334177,-32.62559069,4.958646875
-41.53024069,0,0,-32.72582589,-5.041567225,-32.74529484,4.958413823
-41.67995006,0,0,-32.84549898,-5.04180098,-32.8650318,4.958179943
-41.82966139,0,0,-32.96520163,-5.042034899,-32.98474319,4.957946008
-41.97937468,0,0,-33.0848808,-5.042269485,-33.104482,4.957711305
-42.12908993,0,0,-33.2045839,-5.042504306,-33.22420083,4.957476453
-42.27880712,0,0,-33.32426948,-5.042739747,-33.34394111,4.957240904
-42.42852626,0,0,-33.44397281,-5.042975501,-33.46366757,4.957005105
-42.57824733,0,0,-33.56366599,-5.0432118,-33.58340808,4.956768712
-42.72797034,0,0,-33.68336995,-5.043448477,-33.70314172,4.956531977
-42.87769527,0,0,-33.80307118,-5.043685615,-33.82288196,4.956294762
-43.02742211,0,0,-33.9227763,-5.043923181,-33.94262219,4.956057126
-43.17715087,0,0,-34.04248531,-5.044161128,-34.06236239,4.955819117
-43.32688153,0,0,-34.16219185,-5.044399549,-34.18210892,4.955580617
-43.4766141,0,0,-34.28190831,-5.044638276,-34.30184936,4.955341841
-43.62634855,0,0,-34.40161641,-5.04487752,-34.42160197,4.955102509
-43.77608489,0,0,-34.52133973,-5.045117009,-34.54134317,4.954862984
-43.92582311,0,0,-34.64104871,-5.045357071,-34.66110252,4.954622821
-44.07556321,0,0,-34.7607787,-5.045597321,-34.78084464,4.954382547
-44.22530517,0,0,-34.8804879,-5.045838218,-34.90061131,4.954141535
-44.37504898,0,0,-35.00022466,-5.046079243,-35.02035419,4.953900497
-44.52479466,0,0,-35.11993393,-5.046320989,-35.1401283,4.953658621
-44.67454218,0,0,-35.23967748,-5.046562804,-35.25987186,4.953416806
-44.82429154,0,0,-35.3593869,-5.046805412,-35.37965327,4.953174052
-44.97404273,0,0,-35.47913411,-5.047048098,-35.4994006,4.952931366
-45.12379575,0,0,-35.59885092,-5.047291496,-35.61918202,4.952687836
-45.27355059,0,0,-35.7185987,-5.047535033,-35.73893614,4.952444287
-45.42330724,0,0,-35.83832335,-5.047779196,-35.85871706,4.952200008
-45.5730657,0,0,-35.95807191,-5.048023554,-35.97847772,4.951955626
-45.72282596,0,0,-36.07780415,-5.048268457,-36.09825834,4.951710624
-45.87258802,0,0,-36.19755368,-5.048513604,-36.21802528,4.951465442
-46.02235185,0,0,-36.31729319,-5.048759222,-36.33780587,4.951219739
-46.17211747,0,0,-36.43704387,-5.049005131,-36.45757888,4.950973785
-46.32188486,0,0,-36.55678975,-5.049251455,-36.57736027,4.950727388
-46.47165402,0,0,-36.67654124,-5.049498124,-36.69713962,4.950480661
-46.62142493,0,0,-36.79629313,-5.049745161,-36.81692213,4.950233562
-46.7711976,0,0,-36.91604503,-5.049992606,-36.93670817,4.949986046
-46.920972,0,0,-37.03580301,-5.05024037,-37.05649165,4.949738229
-47.07074815,0,0,-37.15555518,-5.050488608,-37.17628447,4.949489907
-47.22052603,0,0,-37.27531937,-5.050737112,-37.29606875,4.949241361
-47.37030563,0,0,-37.39507174,-5.050986157,-37.41586835,4.948992218
-47.52008695,0,0,-37.5148425,-5.051235406,-37.53565302,4.94874294
-47.66986997,0,0,-37.63459595,-5.051485243,-37.65545847,4.948492995
-47.8196547,0,0,-37.75437321,-5.051735223,-37.77524354,4.948242999
-47.96944112,0,0,-37.8741285,-5.051985817,-37.89505401,4.947992289
-48.11922923,0,0,-37.99391198,-5.052236497,-38.01483971,4.947741604
-48.26901903,0,0,-38.11366936,-5.052487815,-38.13465491,4.947490165
-48.41881049,0,0,-38.23345734,-5.052739198,-38.25444289,4.947238783
-48.56860362,0,0,-38.35321974,-5.052991179,-38.37425983,4.946986686
-48.71839841,0,0,-38.47300965,-5.053243254,-38.49405262,4.946734606
-48.86819486,0,0,-38.59277756,-5.053495883,-38.61387074,4.946481871
-49.01799295,0,0,-38.71256825,-5.053748656,-38.73366941,4.946229081
-49.16779267,0,0,-38.83234095,-5.054001957,-38.85348939,4.94597568
-49.31759403,0,0,-38.95213212,-5.05425546,-38.9732942,4.945722148
-49.46739701,0,0,-39.07190981,-5.054509461,-39.09311578,4.945468054
-49.61720161,0,0,-39.19170117,-5.054763728,-39.21292695,4.945213745
-49.76700781,0,0,-39.31148418,-5.055018454,-39.33274973,4.944958935
-49.91681562,0,0,-39.43127557,-5.055273512,-39.45256738,4.944703821
