driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,D1,D2
-300.9573618,-105.0216304,-0.040001388,5.000993164,5.000993164
-300.982285,-105.1181263,-0.040000185,5.001032107,5.001032107
-301.0080259,-105.2164092,-0.039999071,5.000993182,5.000993182
-301.0339131,-105.3126519,-0.039998192,5.000993184,5.000993184
-301.0598003,-105.4088947,-0.039997313,5.001032181,5.001032181
-301.0870146,-105.5067837,-0.039997784,5.000993212,5.000993212
-301.1138634,-105.6027642,-0.0399985,5.001032218,5.001032218
-301.1415871,-105.700512,-0.039999494,5.000993234,5.000993234
-301.1693946,-105.7962203,-0.040000928,5.000993237,5.000993237
-301.1972022,-105.8919287,-0.040002361,5.001032302,5.001032302
-301.2263914,-105.9892533,-0.040001491,5.000993269,5.000993269
-301.2551553,-106.0846803,-0.040000271,5.001032333,5.001032333
-301.284851,-106.1818531,-0.039999148,5.000993295,5.000993295
-301.3145681,-106.276989,-0.039998239,5.000993299,5.000993299
-301.3442853,-106.372125,-0.03999733,5.001032416,5.001032416
-301.3754378,-106.468845,-0.03999784,5.000993335,5.000993335
-301.4061054,-106.5636808,-0.039998526,5.00103245,5.00103245
-301.4377613,-106.6602389,-0.039999523,5.000993363,5.000993363
-301.4693762,-106.7547646,-0.040000931,5.000993369,5.000993369
-301.5009912,-106.8492907,-0.040002339,5.001032544,5.001032544
-301.5340949,-106.945367,-0.040001346,5.000993407,5.000993407
-301.5666544,-107.0395739,-0.040000122,5.001032572,5.001032572
-301.6002582,-107.1354778,-0.039999013,5.000993439,5.000993439
-301.6337587,-107.2293559,-0.039998108,5.000993446,5.000993446
-301.6672592,-107.3232344,-0.039997203,5.001032665,5.001032665
-301.7023008,-107.4186272,-0.039997789,5.000993487,5.000993487
-301.7367392,-107.5121679,-0.039998479,5.001032695,5.001032695
-301.7722776,-107.6073784,-0.039999514,5.000993522,5.000993522
-301.8076503,-107.7005716,-0.040000929,5.000993529,5.000993529
-301.8430231,-107.7937652,-0.040002344,5.001032799,5.001032799
-301.8799891,-107.8884361,-0.040001252,5.000993573,5.000993573
-301.9162931,-107.9812733,-0.040000049,5.001032823,5.001032823
-301.9537521,-108.0757514,-0.039998978,5.00099361,5.00099361
-301.9909833,-108.1682226,-0.039998098,5.000993618,5.000993618
-302.0282147,-108.2606942,-0.039997218,5.001032926,5.001032926
-302.0670902,-108.3546039,-0.039997902,5.000993665,5.000993665
-302.1052453,-108.4467007,-0.039998618,5.001032953,5.001032953
-302.14461,-108.5404078,-0.039999707,5.000993704,5.000993704
-302.183685,-108.6321202,-0.040001137,5.001033041,5.001033041
-302.2235392,-108.7256249,-0.040002556,5.000993736,5.000993736
-302.2635301,-108.8169434,-0.040001319,5.000993761,5.000993761
-302.3035215,-108.9082631,-0.040000083,5.001033087,5.001033087
-302.3447766,-109.0011607,-0.039998984,5.000993803,5.000993803
-302.3856801,-109.0920778,-0.039998055,5.001033167,5.001033167
-302.4274204,-109.1847626,-0.039997168,5.000993837,5.000993837
-302.4692317,-109.2752677,-0.039997835,5.000993862,5.000993862
-302.5110436,-109.3657739,-0.039998502,5.001033222,5.001033222
-302.5541725,-109.4578239,-0.039999584,5.000993906,5.000993906
-302.5968883,-109.5479094,-0.040000981,5.001033306,5.001033306
-302.6404982,-109.6397369,-0.040002245,5.000993942,5.000993942
-302.6841137,-109.7293924,-0.040001052,5.000993968,5.000993968
-302.7277297,-109.819049,-0.039999858,5.00103336,5.00103336
-302.7727154,-109.9102135,-0.039998831,5.000994013,5.000994013
-302.8172268,-109.9994315,-0.039997969,5.001033436,5.001033436
-302.862689,-110.0903634,-0.039997227,5.000994051,5.000994051
-302.9080913,-110.1791335,-0.03999796,5.000994077,5.000994077
-302.9534941,-110.2679048,-0.039998694,5.0010335,5.0010335
-303.0003187,-110.3581463,-0.039999868,5.000994124,5.000994124
-303.0466081,-110.4464612,-0.040001313,5.00103358,5.00103358
-303.0939046,-110.5364606,-0.040002492,5.000994163,5.000994163
-303.1410759,-110.6243099,-0.040001259,5.000994189,5.000994189
-303.1882478,-110.7121603,-0.040000025,5.001033642,5.001033642
-303.2368928,-110.8014416,-0.039998958,5.000994237,5.000994237
-303.284942,-110.888818,-0.03999803,5.001033714,5.001033714
-303.3340539,-110.9778474,-0.039997299,5.000994278,5.000994278
-303.3829755,-111.0647407,-0.039997967,5.000994303,5.000994303
-303.4318978,-111.1516351,-0.039998635,5.001033785,5.001033785
-303.4823435,-111.2399195,-0.039999787,5.000994353,5.000994353
-303.5321335,-111.3263225,-0.040001183,5.001033859,5.001033859
-303.5830413,-111.4143456,-0.04000219,5.000994395,5.000994395
-303.633694,-111.5002481,-0.040000984,5.00099442,5.00099442
-303.6843474,-111.5861517,-0.039999778,5.00103393,5.00103393
-303.736574,-111.6734028,-0.039998769,5.000994471,5.000994471
-303.7880853,-111.7587977,-0.039997891,5.001033996,5.001033996
-303.8407684,-111.8457777,-0.039997292,5.000994515,5.000994515
-303.8931322,-111.9306551,-0.039998011,5.000994539,5.000994539
-303.9454966,-112.0155335,-0.039998729,5.001034075,5.001034075
-303.9994831,-112.1017152,-0.039999961,5.000994591,5.000994591
-304.052695,-112.1860679,-0.040001393,5.001034144,5.001034144
-304.1071327,-112.2719693,-0.040002291,5.000994636,5.000994636
-304.1611869,-112.3557875,-0.040001056,5.00099466,5.00099466
-304.2152417,-112.4396068,-0.039999821,5.001034222,5.001034222
-304.2709666,-112.5246834,-0.039998785,5.000994713,5.000994713
-304.3258584,-112.6079601,-0.039997858,5.001034282,5.001034282
-304.3820286,-112.6927469,-0.039997292,5.000994758,5.000994758
-304.4377517,-112.7754724,-0.039997962,5.000994782,5.000994782
-304.4934755,-112.8581988,-0.039998632,5.001034369,5.001034369
-304.5509162,-112.9421352,-0.039999864,5.000994835,5.000994835
-304.607466,-113.0243025,-0.040001266,5.001034432,5.001034432
-304.6653464,-113.1079401,-0.040002014,5.000994882,5.000994882
-304.7227165,-113.1895396,-0.04000083,5.000994905,5.000994905
-304.7800872,-113.27114,-0.039999647,5.001034517,5.001034517
-304.839221,-113.3539014,-0.039998699,5.000994959,5.000994959
-304.8974065,-113.4349262,-0.03999785,5.001034571,5.001034571
-304.9569736,-113.5173794,-0.039997447,5.000995006,5.000995006
-305.0159679,-113.5978203,-0.039998194,5.000995028,5.000995028
-305.0749627,-113.678262,-0.039998941,5.001034664,5.001034664
-305.1357656,-113.759814,-0.040000269,5.000995083,5.000995083
-305.1955636,-113.839664,-0.04000172,5.001034721,5.001034721
-305.2567939,-113.9208991,-0.040002338,5.000995131,5.000995131
-305.317389,-114.0001489,-0.040001071,5.000995152,5.000995152
-305.3779847,-114.0793996,-0.039999803,5.001034813,5.001034813
-305.4404323,-114.1597083,-0.039998755,5.000995208,5.000995208
-305.5018193,-114.2383512,-0.039997782,5.00103486,5.00103486
-305.5646876,-114.318334,-0.03999734,5.000995256,5.000995256
-305.6268595,-114.396361,-0.039997963,5.000995276,5.000995276
-305.6890319,-114.4743888,-0.039998587,5.00103496,5.00103496
-305.753099,-114.5534209,-0.039999861,5.000995332,5.000995332
-305.8160504,-114.6308252,-0.040001228,5.00103501,5.00103501
-305.8805318,-114.7095229,-0.040001683,5.00099538,5.00099538
-305.9442557,-114.7862956,-0.040000523,5.0009954,5.0009954
-306.0079803,-114.8630691,-0.039999363,5.001035108,5.001035108
-306.0736411,-114.9407918,-0.039998493,5.000995456,5.000995456
-306.1381321,-115.0169263,-0.039997686,5.001035148,5.001035148
-306.2042001,-115.0943057,-0.039997501,5.000995505,5.000995505
-306.2694509,-115.1697934,-0.039998291,5.000995524,5.000995524
-306.3347022,-115.2452817,-0.039999081,5.001035255,5.001035255
-306.4019301,-115.3216625,-0.040000522,5.00099558,5.00099558
-306.4679349,-115.3964967,-0.040002009,5.001035297,5.001035297
-306.5355632,-115.472526,-0.040002346,5.000995629,5.000995629
-306.6023149,-115.5466981,-0.040001079,5.000995647,5.000995647
-306.6690671,-115.6208709,-0.039999812,5.001035402,5.001035402
-306.737835,-115.695878,-0.039998789,5.000995704,5.000995704
-306.8053276,-115.7693816,-0.039997807,5.001035434,5.001035434
-306.8744885,-115.8440287,-0.039997534,5.000995753,5.000995753
-306.9427144,-115.9168555,-0.039998149,5.000995769,5.000995769
-307.0109408,-115.9896829,-0.039998765,5.001035546,5.001035546
-307.0812207,-116.063285,-0.040000109,5.000995826,5.000995826
-307.1501741,-116.1354285,-0.040001463,5.00103558,5.00103558
-307.2208398,-116.2086626,-0.040001607,5.000995875,5.000995875
-307.2905129,-116.2801147,-0.040000413,5.000995891,5.000995891
-307.3601866,-116.3515673,-0.039999218,5.001035691,5.001035691
-307.4319501,-116.4237336,-0.039998347,5.000995948,5.000995948
-307.5023368,-116.494488,-0.039997499,5.001035716,5.001035716
-307.5744784,-116.5662781,-0.039997456,5.000995997,5.000995997
-307.6455709,-116.6363267,-0.039998206,5.001035802,5.001035802
-307.7180909,-116.7077408,-0.039998991,5.000996038,5.000996038
-307.7898818,-116.7770764,-0.040000452,5.000996068,5.000996068
-307.8616739,-116.8464131,-0.040001912,5.00103586,5.00103586
-307.9352623,-116.9167296,-0.040001942,5.000996117,5.000996117
-308.007746,-116.9853465,-0.040000721,5.001035938,5.001035938
-308.081705,-117.0552788,-0.039999493,5.000996159,5.000996159
-308.1548728,-117.1231688,-0.039998579,5.000996188,5.000996188
-308.2280416,-117.1910598,-0.039997664,5.001035993,5.001035993
-308.3030467,-117.259873,-0.039997648,5.000996237,5.000996237
-308.3768926,-117.3270305,-0.039998332,5.001036071,5.001036071
-308.4522603,-117.3954519,-0.039999092,5.000996278,5.000996278
-308.5267757,-117.461869,-0.040000496,5.000996306,5.000996306
-308.6012921,-117.528287,-0.040001899,5.001036135,5.001036135
-308.6776835,-117.5955683,-0.040001735,5.000996355,5.000996355
-308.7528623,-117.6612394,-0.040000499,5.001036204,5.001036204
-308.8296083,-117.7281211,-0.039999277,5.000996396,5.000996396
-308.9054416,-117.7930384,-0.039998361,5.000996422,5.000996422
-308.9812759,-117.8579566,-0.039997446,5.001036264,5.001036264
-309.0590222,-117.9236774,-0.039997526,5.000996471,5.000996471
-309.1355038,-117.9878356,-0.039998207,5.001036333,5.001036333
-309.2135965,-118.0531498,-0.039999012,5.000996512,5.000996512
-309.2907174,-118.1165411,-0.040000424,5.000996537,5.000996537
-309.3678393,-118.1799333,-0.040001837,5.001036402,5.001036402
-309.4469091,-118.2440665,-0.040001554,5.000996585,5.000996585
-309.5246631,-118.3066858,-0.040000376,5.001036463,5.001036463
-309.6040707,-118.3704049,-0.039999236,5.000996626,5.000996626
-309.6824486,-118.4322447,-0.039998394,5.00099665,5.00099665
-309.7608274,-118.4940852,-0.039997552,5.001036529,5.001036529
-309.841188,-118.5566035,-0.039997806,5.000996698,5.000996698
-309.9201832,-118.6176586,-0.039998562,5.001036589,5.001036589
-310.0008732,-118.679756,-0.039999481,5.000996738,5.000996738
-310.0804767,-118.7400193,-0.040000932,5.000996761,5.000996761
-310.160081,-118.8002833,-0.040002382,5.001036664,5.001036664
-310.2416999,-118.8611608,-0.040001851,5.000996809,5.000996809
-310.321905,-118.920627,-0.040000539,5.001036715,5.001036715
-310.4038445,-118.9810764,-0.03999927,5.000996849,5.000996849
-310.4846419,-119.0397388,-0.039998241,5.00099687,5.00099687
-310.5654401,-119.0984018,-0.039997212,5.001036786,5.001036786
-310.6482834,-119.1576125,-0.039997376,5.000996919,5.000996919
-310.7296662,-119.215466,-0.039997944,5.001036838,5.001036838
-310.8128216,-119.2742422,-0.039998741,5.000996959,5.000996959
-310.8947805,-119.3312801,-0.040000096,5.000996979,5.000996979
-310.9767402,-119.3883186,-0.04000145,5.001036919,5.001036919
-311.0607746,-119.445838,-0.040000996,5.000997027,5.000997027
-311.1433027,-119.5020553,-0.040000031,5.001036962,5.001036962
-311.22764,-119.5591335,-0.039999176,5.000997067,5.000997067
-311.3107278,-119.6145238,-0.039998629,5.000997085,5.000997085
