Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle.Side_Slip_Angle,Gyro.gyro_X,Gyro.gyro_Y,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
4.77E-05,9.958503721,-5.06E-06,-5.73E-06,4.74E-06,13.75997166,2.19E-05,-11.94925019,0,0,-7.49E-06,7.25826E-05
4.78E-05,9.958746839,-5.05E-06,-5.72E-06,4.74E-06,13.85955791,2.18E-05,-12.04883417,0,0,-7.38E-06,7.26819E-05
4.78E-05,9.958989272,-5.05E-06,-5.72E-06,4.75E-06,13.95914659,2.17E-05,-12.1484206,0,0,-7.28E-06,7.27759E-05
4.79E-05,9.959230912,-5.05E-06,-5.71E-06,4.75E-06,14.0587377,2.16E-05,-12.24800946,0,0,-7.17E-06,7.28649E-05
4.79E-05,9.959471849,-5.05E-06,-5.71E-06,4.76E-06,14.15833121,2.15E-05,-12.34760075,0,0,-7.07E-06,7.29489E-05
4.79E-05,9.959712267,-5.05E-06,-5.70E-06,4.76E-06,14.25792713,2.14E-05,-12.44719446,0,0,-6.96E-06,7.30282E-05
4.80E-05,9.959952263,-5.05E-06,-5.70E-06,4.76E-06,14.35752545,2.13E-05,-12.54679058,0,0,-6.86E-06,7.31033E-05
4.80E-05,9.96019177,-5.05E-06,-5.69E-06,4.76E-06,14.45712618,2.12E-05,-12.64638912,0,0,-6.76E-06,7.31741E-05
4.80E-05,9.960430625,-5.05E-06,-5.68E-06,4.77E-06,14.55672929,2.11E-05,-12.74599006,0,0,-6.65E-06,7.32412E-05
4.81E-05,9.960668718,-5.05E-06,-5.68E-06,4.77E-06,14.65633479,2.10E-05,-12.84559339,0,0,-6.55E-06,7.33041E-05
4.81E-05,9.960906075,-5.05E-06,-5.67E-06,4.77E-06,14.75594266,2.10E-05,-12.94519912,0,0,-6.45E-06,7.33632E-05
4.81E-05,9.961142814,-5.05E-06,-5.66E-06,4.77E-06,14.8555529,2.09E-05,-13.04480723,0,0,-6.35E-06,7.34187E-05
4.81E-05,9.961379025,-5.05E-06,-5.66E-06,4.78E-06,14.95516551,2.08E-05,-13.14441771,0,0,-6.25E-06,7.34707E-05
4.82E-05,9.961614692,-5.05E-06,-5.65E-06,4.78E-06,15.05478048,2.07E-05,-13.24403056,0,0,-6.15E-06,7.35199E-05
4.82E-05,9.961849708,-5.05E-06,-0.000005642,4.78E-06,15.15439781,2.06E-05,-13.34364577,0,0,-6.06E-06,7.35659E-05
4.82E-05,9.962083977,-5.05E-06,-5.63E-06,4.78E-06,15.25401747,2.05E-05,-13.44326334,0,0,-5.96E-06,7.36091E-05
4.82E-05,9.962317489,-5.05E-06,-5.63E-06,4.78E-06,15.35363948,2.04E-05,-13.54288325,0,0,-5.86E-06,7.36495E-05
4.82E-05,9.962550312,-5.05E-06,-5.62E-06,4.79E-06,15.45326382,2.04E-05,-13.64250551,0,0,-5.77E-06,7.36871E-05
4.83E-05,9.962782521,-5.05E-06,-5.61E-06,4.79E-06,15.55289049,2.03E-05,-13.74213009,0,0,-5.67E-06,7.37224E-05
4.83E-05,9.963014121,-5.05E-06,-5.60E-06,4.79E-06,15.65251947,2.02E-05,-13.841757,0,0,-5.58E-06,7.37553E-05
4.83E-05,9.963245051,-5.05E-06,-5.60E-06,4.79E-06,15.75215077,2.01E-05,-13.94138623,0,0,-5.48E-06,7.37861E-05
4.83E-05,9.963475233,-5.05E-06,-5.59E-06,4.79E-06,15.85178437,2.00E-05,-14.04101777,0,0,-5.39E-06,7.38149E-05
